Strain, Name,Species,Lab,Fermentation_Temp_Range_LOW,Fermentation_Temp_Range_HIGH,Apparant_Attenuation_Range_LOW,Apparant_Attenuation_Range_HIGH,  Flocculation, Alcohol_Tolerance, Notes, Best Styles,Substitutions
WY1217-PC,PC West Coast IPA,Ale,Wyeast,62,74,73,80,Medium-High,10,"Thorough attenuation, temperature tolerance, and good flocculation make this an easy strain to work with. Flavor is balanced neutral with mild ester formation at warmer temperatures, allowing hops, character malts, and flavorings to show through.","West Coast Style American craft beers, American Pale Ale, American Brown Ale, American IPA, Double IPA, Specialty IPA: Red IPA, Scottish Light, Scottish Heavy, Scottish Export, Wee Heavy",
WY1318,London Ale III,Ale,Wyeast,64,74,71,75,High,10,"Brewery source: Boddingtons.Originating from a traditional London brewery, this yeast has a wonderful malt and hop profile. It is a true top cropping strain with a fruity, very light and softly balanced palate. This strain will finish slightly sweet.","American Amber Ale, English Barleywine, English IPA, Extra Special/Strong Bitter (English Pale Ale), Mild, Oatmeal Stout, Old Ale, Scottish Export 80/-, Scottish Heavy 70/-, Scottish Light 60/-, Southern English Brown, Special/Best/Premium Bitter, Standard/Ordinary Bitter, Sweet Stout",
WY1332,Northwest Ale,Ale,Wyeast,65,75,67,71,High,10,One of the classic ale strains from a Northwest U.S. Brewery. It produces a malty and mildly fruity ale with good depth and complexity. From Hales Brewery in Seattle via Gales Brewery UK,"American Amber Ale, American Barleywine, American Brown Ale, American IPA, American Pale Ale, American Stout, Blonde Ale, Classic American Pilsner, Fruit Beer, Imperial IPA, Spice, Herb, or Vegetable Beer",
WY1388,Belgian Strong Ale,Ale,Wyeast,64,80,74,78,Low,13,"The classic choice for brewing golden strong ales. Malt flavors and aromas will remain even with a well attenuated dry, tart finish. This alcohol tolerant strain will produce a complex ester profile balanced nicely with subtle phenolics. It may continue to produce CO2 for an extended period after packaging or collection.  Duvel (Moortgart) via McEwans","Belgian Blond Ale, Belgian Golden Strong Ale, Belgian Specialty Ale, Belgian Tripel, Bière de Garde, Christmas/Winter Specialty Spiced Beer",WLP570
WY1450,Denny's Favorite 50,Ale,Wyeast,60,70,74,76,Low,10,"This terrific all-round yeast can be used for almost any style beer and is a mainstay of Mr. Denny Conn (of homebrewing fame). It is unique in that it produces a big mouthfeel and helps accentuate the malt, caramel, or fruit character of a beer without being sweet or under-attenuating. Used to be 2450 in the Private Collection (PC).  Now available year-round. Brewery source: BrewTek CL-50 via Denny Conn","American Amber Ale, American Barleywine, American Brown Ale, American IPA, American Pale Ale, American Stout, Braggot, Brown Porter, Christmas/Winter Specialty Spiced Beer, Cream Ale, Dry Stout, Fruit Beer, Imperial IPA, Irish Red Ale, Other Smoked Beer, Russian Imperial Stout, Spice, Herb or Vegetable Beer, Strong Scotch Ale, Wood-Aged Beer ",WY2450
WY1469,West Yorkshire Ale,Ale,Wyeast,64,72,67,71,High,9,"This strain produces ales with a full chewy malt flavor and character, but finishes dry, producing famously balanced beers. Best used for the production of cask-conditioned bitters, ESB and mild ales. Expect moderate nutty and stone-fruit esters.Reliably flocculent, producing bright beer without filtration. Brewery: Timothy Taylor","Blonde Ale, English IPA, Extra Special/Strong Bitter (English Pale Ale), Oatmeal Stout, Southern English Brown, Special/Best/Premium Bitter, Standard/Ordinary Bitter, Sweet Stout ",
WY1581-PC,PC Belgian Stout,Ale,Wyeast,65,75,70,85,Medium,12,A very versatile ale strain from Belgium. Excellent for Belgian stout and Belgian Specialty ales. Ferments to dryness and produces moderate levels of esters without significant phenolic or spicy characteristics.,"Belgian Pale Ale, Belgian Specialty Ale, Belgian Dubbel, Triple and Quad, Belgian Strong Golden and Dark Ales, Belgian Blonde Ale, Saison, Belgian Blond Ale",
WY1737,Flying Dog,Ale,Wyeast,65,72,68,72,Medium-High,,"A vigorous fermenter, producing ales with a complex, malty profile.A typical primary fermentation should be complete within 4 to 7 days and total fermentation time can be as little as 16 days. Ensure proper wort aeration to allow for complete attenuation.  Brewery source: Flying Dog",A wide range of ale styles,
WY1742,Swedish Ale,Ale,Wyeast,64,74,68,72,High,10,"Wyeast 1742 and 1187 were available at the same time. Wyeast had obtained the Carnegie Porter yeast, propogated it, and sold it as 1742. Sometime later, they discovered it was the same as Ringwood yeast, so they discontinued 1742.  Brewery source: Jokkmokk in Northern Sweden","American IPA, American Stout, Fruit Beer, Mild, Oatmeal Stout, Southern English Brown","WY1187, WLP005"
WY1762,Belgian Abbey II,Ale,Wyeast,65,75,73,77,Medium,12,"An excellent yeast strain for use in Belgian dark strong ales. This strain has a relatively “clean profile” which allows a rich malt and distinctive ethanol character to shine. Delicate dried fruit esters can be produced when used at higher fermentation temperatures or in a high gravity wort. Conditions beer very fast.  Clean at the low end, and supposedly is pretty fruity at the warm end. Vigorous fertmenter.  Brewery source: Rochefort","American Barleywine, Belgian Blond Ale, Belgian Dark Strong Ale, Belgian Golden Strong Ale, Belgian Specialty Ale, Bière de Garde, Russian Imperial Stout, Strong Scotch Ale",WLP540
WY1764,Rogue Pacman,Ale,Wyeast,60,72,72,78,Medium-High,12,"Very mild fruit complements a dry, mineral finish making this a fairly neutral strain. Pacman's flavor profile and performance makes it a great choice for use in many different beer styles. John Maier (Rogue Brewmaster) says it loves a 60 degree ferment. Pacman is alcohol tolerant, flocculent, attenuates well and will produce beers with little to no diacetyl.  Brewery source: Rogue","American Pale Ale, American Amber Ale, American Brown Ale, Brown Porter, Cream Ale, Irish Red Ale, Strong Scotch Ale, Dry Stout, American Stout, Russian Imperial Stout, American IPA, Imperial IPA, American Barleywine, Fruit Beer, Spice/Herb/or Vegetable Beer, Christmas/Winter Specialty Spice Beer, Other Smoked Beer, Wood-Aged Beer",
WY1768-PC,PC English Special Bitter,Ale,Wyeast,64,72,68,72,Very High,9,"Produces light fruit and ethanol aromas along with soft, nutty flavors. Exhibits a mild malt profile with a neutral finish. Bright beers are easily achieved without any filtration. It is similar to our 1968 London ESB Ale but slightly less flocculent. Brewery Source: Youngs Brewery","Extra Special/Strong Bitter (English Pale Ale), Old Ale, Special/Best/Premium Bitter, Standard/Ordinary Bitter",
WY1882-PC,PC Thames Valley II,Ale,Wyeast,60,70,72,78,High,10,"This strain was originally sourced from a now defunct brewery on the banks of the river Thames outside of Oxford, England. Thames Valley II produces crisp, dry beers with a rich malt profile and moderate stone fruit estersThis attenuative strain is also highly flocculent resulting in bright beers not requiring filtration. A thorough diacetyl rest is recommended after fermentation is complete.","Ordinary and Special Bitters, ESB, Northern English Brown, Robust Porter, Dry Stout, Foreign Extra Stout ",
WY1945,NB NeoBritannia,Ale,Wyeast,66,74,72,77,Medium-High,,"This traditional English ale strain works well for a wide range of beer styles, from low-gravity bitters and milds to strong stouts, porters, and old ales. Due to the cells’ chain-forming characteristics, it is an excellent top-cropping yeast. Moderate ester profile makes it a great match for hop-driven beers like bitter and pale ale, but attenuative enough to handle higher-gravity malty styles. Excellent flocculation yields clear beer and allows for cask-conditioning. Ferment at the lower end of the temperature range for a cleaner finish, or utilize the upper end to enhance low-gravity beers with a more assertive ester profile. ",,
WY2450,PC Denny's Favorite 50,Ale,Wyeast,60,70,74,76,Low,10,"See WY1450, Brewery source: BrewTek CL-50 via Denny Conn",,WY1450
WY2565,Kölsch,Ale,Wyeast,56,70,73,77,Low,10,"This strain is a classic, true top cropping yeast strain from a traditional brewery in Cologne, Germany. Beers will exhibit some of the fruity character of an ale, with a clean lager like profile. It produces low or no detectable levels of diacetyl. This yeast may also be used to produce quick-conditioning pseudo-lager beers and ferments well at cold 55-60°F (13-16°C) range. This powdery strain results in yeast that remain in suspension post fermentation. It requires filtration or additional settling time to produce bright beers. Brewery source: Weihenstephan 165, Köln (Päffgen?)","American Wheat or Rye Beer, Berliner Weisse, Bière de Garde, Cream Ale, Düsseldorf Altbier, Fruit Beer, Kölsch, Northern German Altbier, Spice, Herb, or Vegetable Beer",
WY2575-PC,PC Kölsch II,Ale,Wyeast,55,70,73,77,Low,10,This authentic Kolsch strain from one of Germany’s leading brewing schools has a rich flavor profile which accentuates a soft malt finish. It has Low or no detectable diacetyl production and will also ferment well at colder temperatures for fast lager type beers. Brewery source: Weishenstephan W165,"Kölsch, Northern German Altbier, Düsseldorf Altbier",WLP003
WY3056,Bavarian Wheat Blend,Ale,Wyeast,64,74,73,77,Medium,10,,Subtle German style wheat beer,
WY3209-PC,Oud Bruin Ale Blend,Ale,Wyeast,80,85,70,80,Medium,10,"This exclusive sour blend is built for dark, malt-accented sour styles. Like 3763 Roeselare, it will create sharp acidity, but unlike 3763 it will leave the malt character intact, creating a balanced and complex end product. Excellent base for blending fruit in secondary (especially cherries or raspberries), and makes for an interesting Saison.","Oud Bruin, Mixed-Fermentation Sour Beer, Wild Specialty Beer, Saison, Fruit Beer, Fruit & Spice Beer, Specialty Fruit Beer",
WY3278,Belgian Lambic Blend,Ale,Wyeast,63,75,70,80,Medium,11,"This blend contains yeast and bacteria cultures important to the production of spontaneously fermented beers of the Lambic region. Specific proportions of a Belgian style ale strain, a sherry strain, two Brettanomyces strains, a Lactobacillus culture, and a Pediococcus culture produce the desirable flavor components of these beers as they are brewed in West Flanders. Propagation of this culture is not recommended and will result in a change of the proportions of the individual components. This blend will produce a very dry beer due to the super-attenuative nature of the mixed cultures. ","Lambic, Gueuze, Fruit Lambic, Flanders Red Ale, Wild Specialty Beer",
WY3463-PC,Forbidden Fruit,Ale,Wyeast,63,76,72,76,Low,12,"A widely used strain in the production of Witbier and Grand Cru. This yeast will produce spicy phenolics which are balanced nicely by a complex ester profile. The subtle fruit character and dry tart finish will complement wheat malt, orange peel and spice additions typical of Wits. Brewery source:Hoegaarden (assumed to be from Verboden Vrucht)","Witbier, White IPA",WLP720
WY3522,Belgian Ardennes,Ale,Wyeast,65,76,72,76,High,12,"One of the great and versatile strains for the production of classic Belgian style ales. This strain produces a beautiful balance of delicate fruit esters and subtle spicy notes; with neither one dominating. Unlike many other Belgian style strains, this strain is highly flocculent and results in bright beers. Brewery source: Achouffe","Belgian Pale Ale, Belgian Dubbel, Belgian Tripel, Belgian Strong Ale, Belgian Dark Strong Ale, Belgian Blond Ale, Oud Bruin, Belgian IPA",WLP550
WY3538-PC,Leuven Pale Ale,Ale,Wyeast,65,80,75,78,High,12,"This vigorous top fermenting Belgian style strain produces a distinct spicy character along with mild esters. Phenolics developed during fermentation may dissipate with conditioning. This strain is an excellent choice for a variety of Belgian beer styles including pales, dubbels and brown ales.  Brewery source:Corsendonk-Bocq","Belgian Pale Ale, Belgian Dubbel, Belgian Tripel, Belgian Strong Ale, Belgian Dark Strong Ale, Belgian Blond Ale, Flanders Red Ale, Oud Bruin",
WY3655-PC,Belgian Schelde Ale,Ale,Wyeast,62,74,73,77,Medium,11,"From the East Flanders - Antwerpen region of Belgium, this unique top fermenting yeast produces complex, classic Belgian aromas and flavors that meld well with premium quality pale and crystal malts. Well rounded and smooth textures are exhibited with a full bodied malty profile and mouthfeel. ","Belgian Pale Ale, Belgian Specialty Ale, Belgian Dubbel and Tripel, Belgian Strong Golden and Dark Ales, Belgian Blonde Ale, Flanders Brown/Oud Bruin ",
WY3711,French Saison,Ale,Wyeast,65,83,85,95,Low,12,"A very versatile strain that produces Saison or farmhouse style biers as well as other Belgian style beers that are highly aromatic (estery), peppery, spicy and citrusy. This strain enhances the use of spices and aroma hops, and is extremely attenuative but leaves an unexpected silky and rich mouthfeel. This strain can also be used to re-start stuck fermentations or in high gravity beers.  Very temperature tolerant, very fast, very very highly attenuative. Lower in overall ester production compared to other saison yeasts, less fruit and subtle spice. Awesome with hops. Brassiere Thiriez"," Belgian Blond Ale, Belgian Dark Strong Ale, Belgian Golden Strong Ale, Belgian Specialty Ale, Bière de Garde, Saison",
WY3724,Belgian Saison,Ale,Wyeast,70,95,76,80,Low,12,"This strain is the classic farmhouse ale yeast. A traditional yeast that is spicy with complex aromatics, including bubble gum. It is very tart and dry on the palate with a mild fruitiness. Expect a crisp, mildly acidic finish that will benefit from elevated fermentation temperatures. This strain is notorious for a rapid and vigorous start to fermentation, only to stick around 1.035 S.G. Fermentation will finish, given time and warm temperatures. Warm fermentation temperatures at least 90°F (32°C) or the use of a secondary strain can accelerate attenuation. Brewery source: Saison du Pont",Saison,NOT WLP565
WY3725-PC,Bière de Garde,Ale,Wyeast,70,84,74,79,Low,12,"Low to moderate ester production with subtle spiciness. Malty and full on the palate with initial sweetness. Finishes dry and slightly tart. Ferments well with no sluggishness. Brewery source:Soy-Erezee, Belgium. Fantome","Saison, Bière de Garde, Belgian Blonde Ale, Belgian Pale Ale, Belgian Golden Strong Ale",
WY3726,Farmhouse Ale,Ale,Wyeast,70,95,74,79,Medium,12,"This strain produces complex esters balanced with earthy/spicy notes. Slightly tart and dry with a peppery finish. A perfect strain for farmhouse ales and saisons. Brewery source: Blaugies, Belgium","Saison, Beier de Garde, Belgian Blonde Ale, Belgian Pale Ale, Belgian Golden Strong Ale",
WY3739-PC,PC Flanders Golden Ale,Ale,Wyeast,64,80,74,78,Medium-Low,12,Robust & versatile strain that performs nicely in a broad range of Belgian styles.This well balanced strain from northern Belgium will produce moderate levels of both fruity esters and spicy phenols while finishing dry with a hint of malt.,"Belgian Pale Ale, Belgian Specialty Ale, Belgian Dubbel, Triple and Quad, Belgian Strong Golden and Dark Ales, Belgian Blonde Ale.",
WY3822-PC,Dutch Castle,Ale,Wyeast,65,80,74,79,Medium,12,"Spicy, phenolic, and tart in the nose. Very tart and dry on the palate. Phenols and esters well balanced, with a very dry and complex finish. High acid producer. Brewery source: Brouwerij Van Honsebrouck","Belgian Dark Strong Ale, Flanders Brown Ale/Oud Bruin, Saison",
WY3864-PC,Canadian/Belgian Ale Yeast,Ale,Wyeast,65,80,75,79,Medium,12,"This strain has a classic profile producing mild phenolics which increase with higher fermentation temperatures. It has a low ester profile with a dry, slightly tart finish. This strain is alcohol tolerant while producing complex & well balanced beers.Brewery source: Unibroue","Belgian Dubbel, Belgian Trippel, Belgian Golden Strong Ale, Biere de Garde, Witbier",
WY3942-PC,Belgian Wheat,Ale,Wyeast,64,74,72,76,Medium,12,"Isolated from a small Belgian brewery, this strain produces beers with moderate esters and minimal phenolics. Apple, bubblegum and plum-like aromas blend nicely with malt and hops. This strain will finish dry with a hint of tartness. Brewery source: Esen, Belgium (De Dolle)","Belgian Pale Ale, Witbier, Belgain Trippel, Belgian IPA, White IPA",
WY3944,Belgian Witbier,Ale,Wyeast,62,75,72,76,Medium,11,"This versatile witbier yeast strain can be used in a variety of Belgian style ales. This strain produces a complex flavor profile dominated by spicy phenolics with low to moderate ester production. It is a great strain choice when you want a delicate clove profile not to be overshadowed by esters. It will ferment fairly dry with a slightly tart finish that compliments the use of oats, malted and unmalted wheat. This strain is a true top cropping yeast requiring full fermenter headspace of 33%.  Brewery source: Hoegaarden/Celis White","Witbier, Belgian Dubbel, Belgian Tripel, Autumn Seasonal Beer, Winter Seasonal Beer, Spice/Herb/Vegetable Beers, Belgian IPA, White IPA",WLP400
WY9093,Imperial Blend,Ale,Wyeast,68,75,75,80,Medium-Low,14,"This unique blend of strains is designed to ferment higher gravity worts used in producing any style of Imperial beer. The results will be a rich, malty, full bodied beer with notes of citrus & fruity esters. Even with a high starting gravity your Imperials will have a relatively dry finish.","American Barleywine, Imperial IPA, Imperial Red, Imperial Brown, Russian Imperial Stout",
WY9097,PC Old Ale Blend,Ale,Wyeast,68,75,75,80,Medium,14,"To bring you a bit of English brewing heritage we developed the “Old Ale” blend. It includes an attenuative ale strain along with a small amount of Brettanomyces. The blend will ferment well in dark worts, producing fruity beers with nice complexity. The Brettanomyces adds a pie cherry-like flavor and sourness during prolonged aging.","Strong Ale, Old Ale, English Barleywine ",
,Munton's Standard Yeast,Ale,Munton's ,64,70,70,70,High,8,It provides low ester formation but with relatively high residual sugar giving good body and mouth feel.,,
,Munton's Premium Gold,Ale,Munton's ,66,72,75,75,High,10,"This yeast produces relatively high ester formation with a low residual sweetness but is also very robust, giving excellent results over a range of beers and is used in many Microbrewery fermentations.",,
,Sigmund's Voss Kveik,Ale,The Yeast Bay,70,100,78,83,High,,"We highly recommend taking this into the high end of temperature range, 90-100 ºF.Sigmund's Voss Kveik yeast is a single strain of Saccharomyces cerevisiae isolated from a sample of kveik generously provided by Sigmund Gjernes via Lars Garshol (click here for Lars' blog).
Traditionally used in the production of Norwegian Farmhouse Ale, this strain is a fast fermenter with good attenuation, a light earthy spiciness, marked tartness and unique ester profile of orange peel. This strain is prone to forming incredibly large flocs unlike any other yeast we've seen before, yet still remains highly attenuative. Sigmund's Voss Kveik also exhibits the ability to ferment wort over a large temperature range, 70 - 100 ºF, without major changes to the flavor profile or production of any harsh phenolics or fusel alchohols. This yeast will exhibit a slightly more restrained ester profile and ferment a little slower at cooler fermentation temperatures, and quickly produce a drier beer with a slightly more pronounced ester profile at warmer fermentation temperatures. Brewery Source:  Sigmund Gjernes via Lars Garshol ",Farmhouse beers,
,Saison Blend II,Ale,The Yeast Bay,68,80,80,85,Medium,,"This saison blend is the Saccharomyces portion of our Farmhouse Sour Ale, available to you as a result of popular demand from the commercial brewing crowd. Thiscombination of Saccharomyces strains embodies the balanced fusion of the two foremost saison flavor/aroma characters, fruitiness and earthiness. Each Saccharomyces strain in this blend produces flavor compounds that serve as the yin to the other's yang, and the result is an exceptionally complex yet balanced flavor and aroma profile. One strain will serve to create an ester profile of grapefruit and orange zest, while the other will produce a mild earthiness and spiciness. Close your eyes while drinking a beer fermented with this blend, and you'll feel like you're laying on freshly turned earth in an old citrus grove",,
,Flanders Specialty Ale,Ale,The Yeast Bay,68,80,80,90,Medium,,"This is a single strain of Saccharomyces cerevisiae isolated from a fascinating Belgian producer of a wide array of traditional Belgian beer styles. This is a versatile yeast that will ferment fairly dry and produce a balanced flavor and aroma profile laced with a myriad of esters and phenols.
While fermenting to dryness similar to our Dry Belgian Ale, there remains a pleasant fullness in the mouthfeel and a malt backbone that shines. If you would like the final gravity to remain a bit higher, we recommend mashing around 156 F. ","Belgian styles, Flanders Ales",
,Wallonian Farmhouse,Ale,The Yeast Bay,72,80,81,88,Medium,,"Isolated from a unique farmhouse-style ale that hails from the Walloon region of Belgium, this yeast is one of the funkier clean yeast we have in our stable. It imparts a slight earthy funk and tart character to the beer, and is a very mild producer of some slightly spicy and mildly smokey flavor compounds.
This yeast exhibits absurdly high attenuation, resulting in a practically bone-dry beer. If desired, we recommend controlling the dryness by adjusting the mash temperature or adding malts or adjuncts to the mash tun that will lend some body and residual sweetness to the beer. When fermented cool this yeast will provide a cleaner profile, and the character development will increase proportionally with increasing fermentation temperature. ",Farmhouse or experimental Belgian Ale,
,Midwestern Ale,Ale,The Yeast Bay,64,72,76,80,Medium ,,"Midwestern Ale yeast is a single strain of Saccharomyces cerevisiae isolated from a storied brewery in the heartland of America, well suited for fermentation of a broad spectrum of worts.
A relatively fast fermenter with good attenuation and pleasant ester profile that can be tuned via the fermentation temperature, this yeast is great for any porter, stout, brown, amber, IPA, pale ale, or American wheat beer. Expect this yeast to ferment cleaner with a low ester profile at the cooler fermentation temperatures, and produce a more pronounced ester profile at warmer fermentation temperatures","any porter, stout, brown, amber, IPA, pale ale, American wheat beer",
,Dry Belgian Ale,Ale,The Yeast Bay,68,74,85,100,Medium-High,,"Dry Belgian Ale is single strain of Saccharomyces cerevisiae isolated from a unique golden strong ale. The profile is a complex and balanced mix of apple, pear and light citrus fruit with some mild spicy and peppery notes. The apparent attenuation of this strain ranges anywhere from 85-100%, depending upon the mash profile and the grist composition.
For a yeast that's as dry as it is, it creates beers with a surprising amount of balance even without the use of specialty grains or adjuncts. While we haven't completed our own tests in house, this yeast is used at the brewery from which it was isolated to make big beers that are in the neighborhood of 12-16% ABV and sufficiently dry. Use Dry Belgian Ale as a primary fermenter in any big Belgian beer, or to unstick that pesky stuck fermentation.","Big beers around 12-16% ABV, Big Belgian beers",
,Vermont Ale,Ale,The Yeast Bay,64,70,77,83,Medium-Low,,"In order to achieve high attenuation, we recommend fermenting at 64-68 ºF for 5-7 days, and then raising the temperature to 70 ºF until a stable gravity is reached. We also recommend mashing at 148-149 ºF and adding a small percentage of the fermentables (~ 5-10%) as sugar.
Attenuation has also been reported to increase when repitching after the first generation. Isolated from a uniquely crafted double IPA out of the Northeastern United States, this yeast produces a balanced fruity ester profile of peaches and light citrus that complements any aggressively hopped beer. Expect this strain to take off fast and ferment wort quickly, though elevating the temperature following the bulk of fermentation may be required to raise the attenuation.",,
,Northeastern Abbey,Ale,The Yeast Bay,68,75,77,81,Medium-Low,,"This yeast was isolated from a beer crafted by a well-known producer of Belgian-style ales in the Northeastern United States. This yeast produces a very mild spiciness and earthy flavor and aroma which is complemented by a subtle but magnificent array of fruity esters, including pear and light citrus fruit.
The brewery from which this strain was isolated uses it in a very versatile manner across an array of Belgian styles. We prefer using this yeast for any and all light Belgian beers, including Wit, Belgian Pale and Belgian Blond, in addition to any experimental fruit beers in which a more unique and robust flavor and aroma profile is desired. Expect this yeast to produce a large, thick krausen.","Wide variety of Belgian styles, Light Belgian beers, Wit, Pale or Blond, Experimental fruit beers",
,Saison Blend,Ale,The Yeast Bay,66,74,78,84,Medium-Low,,"A blend of two unique yeast strains isolated from beers that embody the saison style, this blend is a balance of the many characteristic saison flavors and aromas. One yeast strain is a good attenuator that produces a spicy and mildly tart and tangy beer with a full mouthfeel. The other yeast strain is also a good attenuator that produces a delightful ester profile of grapefruit and orange zest and imparts a long, dry and earthy finish to the beer. Together, they produce a dry but balanced beer with a unique flavor and aroma profile.",saisons,
,Wallonian Farmhouse II,Ale,The Yeast Bay,68,80,80,82,Medium-Low,,"This is a single strain of Saccharomyces cerevisiae isolated from the same source as our Wallonian Farmhouse strain, a well-known brewery hailing from the Walloon region of Belgium. Slightly less attenuative and exhibiting a more restrained phenolic and expressive ester profile than our original Wallonian Farmhouse. Wallonian Farmhouse II works very well in conjunction with Brettanomyces owing to its robust and complex ester and phenol profile, so well that it has the honor of being the dominant saison strain in our new Saison/Brettanomyces Blend II culture.",this yeast is a great choice for any classic saison style beer in which a balance of fruitiness and rustic farmhouse character is desired.,
,Wallonian Farmhouse III,Ale,The Yeast Bay,68,80,82,84,Medium-Low,,"This is a single strain of Saccharomyces cerevisiae isolated from a well-known brewery hailing from the Walloon region of Belgium. This strain is as attenuative as our original Wallonian Farmhouse and exhibits a more balanced profile of ester and phenols. This yeast is similar to a classic saison strain offered by many other yeast manufacturers, without the slow/low attenuation and stalling issues often observed in those cultures.Wallonian Farmhouse III works very well in conjunction with Brettanomyces owing to its balanced and complex ester and phenol profile.","Farmhouse, Saison styles",
ECY01,BugFarm,Blend,East Coast Yeast,,,,,,,"A large complex blend of cultures to emulate sour beers such as lambic style ales. Over time displays a citrus sourness and large barnyard profile. Contains yeast (S. cerevisiae and S. fermentati), several Brettanomyces strains, Lactobacillus and Pediococcus. The BugFarm blend changes every year and can be added at any stage of fermentation.",Sour & wild beers,
ECY01,BugFarm I,Blend,East Coast Yeast,,,,,,,,,
ECY01,BugFarm II,Blend,East Coast Yeast,,,,,,,,,
ECY01,BugFarm III,Blend,East Coast Yeast,,,,,,,,,
ECY01,BugFarm IV,Blend,East Coast Yeast,,,,,,,[See BugFarm description; plus:] Now producing Bugfarm 4 (includes a newcomer – Brettanomyces custersianus). ,,
ECY01, BugFarm V,Blend,East Coast Yeast,,,,,,,"[See BugFarm description; plus:] Now producing Bugfarm 5 for 2011 (includes a newcomer – Brettanomyces nanus & naardenensis). Also, B. lambicus/Dekkera bruxellensis known to produce citric acid. ",,
ECY02,Flemish Ale,Blend,East Coast Yeast,,,,,,,"A unique blend of Saccharomyces, Brett, lacto & Pedio perfect for flemish reds and sour browns. Dry, sour, leathery and notes of cherry stone. Designed for 5 gallon pitch, but may be added at any stage of fermentation. ",Flemish Red. Oud Bruin,
ECY03,Farmhouse Brett,Blend,East Coast Yeast,,,,,,,Saison brasserie blend (ECY08) with a pure Brettanomyces isolate from a small but fascinating producer of Saison. Produces a fruity and funky profile with some acidity gradually increasing over time. Brewery source: small but fascinating Saison producer,Saison,
ECY04,Brett blend #1 / Brett Anomala,Blend,East Coast Yeast,,,,,,,"Three individual Brettanomyces isolates from lambic producers combined to give an aggressive brett presence in any beer. Vigorous, funky and acid-tolerant, the blend can be added at any stage of fermentation and is excellent for priming or re-yeasting.  /  Formerly known as Brettanomyces intermedius and is now named as anomala along with strains of B. clausenii and B. anomulus. This strain was first identified in beer from Adelaide, Australia. Displays a strong ester profile with some light funk and acidity.",,
ECY05,Brett Blend #9 (pre June 2013),Blend,East Coast Yeast,,,,,,,"A blend of Brettanomyces that produces a dry, leathery, horsey and/or goaty profile. Can have a pronounced barnyard character and be added at any stage of fermentation. Funk is in the house, so let it out. ",,
ECY05,Brett. Brux. (post June 2013),Blend,East Coast Yeast,,,,,,,This strain of brux was first isolated from Belgian stout (not sure which). Definitely bruxy in character with a bit of fruit added in.,,
ECY06,Berliner blend,Blend,East Coast Yeast,,,,,,,"Designed to be pitched into primary fermentation, the blend contains a Munich yeast and Lactobacillus delbreuckii subspecies delbreuckii in a traditional proportion of 4:1 yeast to Lactobacillus upon pitching. ","Berliner Weisse, Gose",
ECY20,Bug County,Blend,East Coast Yeast,,,,,,,"The mother bugger for sour ales. Contains ECY01, ECY02, ECY03, ECY04, and ECY05. Also includes: Brettanomyces lambicus, bruxellensis, anomulus, clausenii, custersianus, nanus, and naardenensis. Various Lactobacilli and Pediococci were added to round out this limited release sour blend for 2011.  ",Wild ales,
ECY23,Oud Brune,Blend,East Coast Yeast,68,74,75,78,,,"A unique blend of fruity Belgian Saccharomyces yeast and Lactobacillus species (L. delbrueckii, L. mali for the bulk production of lactic acid, and L. brevis for lactic & acetic acid). For those who prefer sourness without the presence of Brett. Additional info: Suggested fermentation temperature: 68-74ºF; apparent attenuation: 75-78%. Alcohol tolerance TBD. L. brevis is hop tolerant.",Lambic?,
F08,F08 Sour Batch Kidz,Blend,Imperial Yeast,68,76,80,100,Low,,"Sour Batch Kidz is a blend of low attenuating Belgian saison yeast, Lactobacillus, and two Brettanomyces yeast strains. This blend is great for emulating lambics, Flanders reds, sour farmhouse ales and any other brew you would like to funk up.","This blend is great for emulating lambics, Flanders reds, sour farmhouse ales and any other brew you would like to funk up.",
GB121,Farmhouse Sour,Blend,GigaYeast,68,80,89,89,,4.9,"Bright sour flavors with sweet, fruity esters, small amount of spicy phenolics and a hint of funky barnyard.  Lactic Acid Bacteria are inhibited by hops, high gravity and low temperatures. You can adjust sourness by increasing or decreasing these variables. More than 7 IBU, gravity above 1050 or temps below 65 F will increase the time to sour or lead to reduced overall souring. Warmer fermentation temps will typically increase the esters and spicy phenolics of the saison ale yeast in this blend.",,
GB122,Berliner Blend,Blend,GigaYeast,70,80,89,89,,4.8,"Sour with subtle ester character.  Creates the classic Berliner Weisse style–  sour with a hint of hops and malt.  Lactic Acid Bacteria are inhibited by hops, high gravity and low temperatures. You can adjust sourness by increasing or decreasing these variables. More than 7 IBU, gravity above 1050 or temps below 65 F will increase the time to sour or lead to reduced overall souring. Warmer fermentation temps will typically increase the esters and spicy phenolics of the saison ale yeast in this blend.",,
GB123,Sour Plum Belgian,Blend,GigaYeast,68,80,77,77,,6.2,"No wild yeast or Brett.  Creates a clean tart beer with stone fruit esters and no discernible phenolics.  In general, sour blends require a longer fermentation time than pure ale strains–  7-10 days at a minimum– to finish. Tasting Notes: Sour with fruity esters Lactic Acid Bacteria are inhibited by hops, high gravity and low temperatures. You can adjust sourness by increasing or decreasing these variables. More than 7 IBU, gravity above 1050 or temps below 65 F will increase the time to sour or lead to reduced overall souring. Warmer fermentation temps will typically increase the esters and spicy phenolics of the saison ale yeast in this blend.",,
