Grain,Origin,Type,Manufacturer ,Must Mash?,"Color Low 
(Lovibond)","Lovibond_High 
(Lovibond)",SRM_Low,SRM_High,Power,Protein Total,Extract FG Min,Potential,% Moisture,Usage Max,Description,Source
Franco-Belges Pilsen,France,Base,Franco-Belges,Yes,1.6,1.8,1.40736,1.67828,120,11,80,1.036968,4,100,"1.6-1.8° L. Light in color and low in total protein, this Pilsen malt is produced from the finest European two-row barley. This malt is extremely well modified and can easily be mashed with a single-temperature infusion. Excellent malty character suitable for many German and Belgian styles.",http://www.northernbrewer.com/franco-belges-pilsen-malt
ESB Pale Malt,Canada,Base,Gambrinus,Yes,3,4,3.3038,4.6584,,10.5,82,1.0378922,4,100,“Extra Special Bitter” pale malt has been produced for brewers seeking domestic malt with the unique flavor imparted by British pale malts.,https://bsgcraftbrewing.com/gambrinus-esb-pale-malt-55lb
Organic Pale Malt,Canada,Base,Gambrinus,Yes,1.5,2,1.2719,1.9492,,11,82,1.0378922,4.5,100,"Processed from premium Canadian two-row barley, this base malt may be used in all types.",
Organic Pilsner Malt,Canada,Base,Gambrinus,Yes,1.3,1.8,1.00098,1.67828,,10.5,82,1.0378922,4.5,100,"Processed from premium Canadian two-row barley, this very low protein base malt may be used in all types of European styles of beers.",
Pale Malt,Canada,Base,Gambrinus,Yes,1.5,2,1.2719,1.9492,,11,82,1.0378922,4.5,100,"Processed from premium Canadian two-row barley, this base malt may be used in all types.",https://bsgcraftbrewing.com/gambrinus-pale-malt-55lb
Pilsner Malt,Canada,Base,Gambrinus,Yes,1.3,1.8,1.00098,1.67828,,10.5,82,1.0378922,4.5,100,"Processed from premium Canadian two-row barley, this very low protein base malt may be used in all types of European styles of beers.",
Vienna Malt,Canada,Base,Gambrinus,Yes,5,6,6.013,7.3676,,11.5,81,1.0374301,4.5,100,This mellow kilned malt is a bridge between a Pale and Munich malt. It is ideal for any amber beer where balanced malty character is desired.,https://bsgcraftbrewing.com/gambrinus-vienna-malt
Honey Malt ,Canada,Color,Gambrinus,Yes,20,30,26.332,39.878,50,11.5,80,1.036968,4.5,20,"With intense malt sweetness, Honey Malt has been patterned after German Bruhmalt and is well suited for use in brown ale and strong ale, among others.",https://bsgcraftbrewing.com/gambrinus-honey-malt-25-kg
Munich Dark 30L,Canada,Color,Gambrinus,Yes,25,30,33.105,39.878,,11.5,81,1.0374301,4,30,A very deep kilned Munich malt with the color and flavor characteristics of roasted malt coupled with the mellow maltiness of Munich malt.,https://bsgcraftbrewing.com/gambrinus-munich-dark-30l
Munich Light 10L,Canada,Color,Gambrinus,Yes,9.5,10.5,12.1087,13.4633,,11.5,81,1.0374301,4,100,"This plump, sweet and mellow kilned malt is ideal for any amber beers where balanced malty character is sought.",https://bsgcraftbrewing.com/gambrinus-munich-light-10l-55lb
Organic Munich 10L,Canada,Color,Gambrinus,Yes,9.5,10.5,12.1087,13.4633,,11.5,81,1.0374301,4,100,"This plump, sweet and mellow kilned malt is ideal for any amber beers where balanced malty character is sought.",
Organic Wheat Malt,Canada,Specialty/Adjunct,Gambrinus,Yes,1.8,2.8,1.67828,3.03288,,12,84,1.0388164,4.5,60,"Processed from the finest Canadian wheat available, this wheat malt may be used in wheat beers of all types.",
Wheat Malt,Canada,Specialty/Adjunct,Gambrinus,Yes,1.8,2.8,1.67828,3.03288,,12,84,1.0388164,4.5,60,"Processed from the finest Canadian wheat available, this wheat malt may be used in wheat beers of all types.",
"Rice, Flaked",United States,Specialty/Adjunct,Generic,Yes,1,1,0.5946,0.5946,0,,85,1.0392785,,10,"Flaked rice does not add any flavor to your beer. However, it will lower the protein and tannin content of your beer. As a result, it will lower the body of your beer. It will also help to eliminate the haze potential when used as a substitute for 6-row barley malt. Flaked rice will add a characteristic dryness to the mouthfeel. Its use can help to accentuate hop flavor in the finished beer.",http://www.brewerslair.com/index.php?p=brewhouse&d=fermentables&id=&v=&term=42
Pale High Color Malt,United States,Base,Great Western,Yes,1.653624686,1.653624686,3,3,,11.5,,,4.2,100,"Our Pale High Color is produced with a kilning regimen based on traditional British malting practices. By maintaining an emphasis on enzymatic potential during the kilning process, we create a fully-functional base malt with malt-forward characteristics.",http://www.greatwesternmalting.com/gwm/specialty-malt/mela/
Premium 2-Row Malt,United States,Base,Great Western,Yes,0.91539938,0.91539938,2,2,,11.5,,,4.2,100,"Premium Two Row is our flagship malt. Produced from Western U.S. barley, this base malt is processed meticulously to create a balanced flavor profile designed to be at the heart of your craft.",http://www.greatwesternmalting.com/gwm/specialty-malt/mela/
Pure California Malt,United States,Base,Great Western,Yes,0.91539938,0.91539938,2,2,,11.5,,,4.2,100,100% California-grown barley. This base malt is processed meticulously to create a balanced flavor profile designed to be at the heart of your craft. Pure California is the malt of choice when a California-specific product is desired.,http://www.greatwesternmalting.com/gwm/identity-preserved-malt/
Pure Idaho Malt,United States,Base,Great Western,Yes,0.620109257,0.620109257,1.6,1.6,,10.7,,,4.2,100,"Between the rugged Sawtooth Mountains and craggy Grand Tetons lie golden fields of barley perfection. It's here, to the West of the Great Divide, where we craft our renowned Pure Idaho malt.",http://www.greatwesternmalting.com/gwm/identity-preserved-malt/
Pure Oregon Malt,United States,Base,Great Western,Yes,0.91539938,0.91539938,2,2,,11.5,,,4.2,100,100% Oregon-grown barley. This base malt is processed meticulously to create a balanced flavor profile designed to be at the heart of your craft. Pure Oregon is the malt of choice when an Oregon-specific product is desired.,http://www.greatwesternmalting.com/gwm/identity-preserved-malt/
Pure Washington Malt,United States,Base,Great Western,Yes,0.91539938,0.91539938,2,2,,11.5,,,4.2,100,"100% Washington-grown barley. This base malt is processed meticulously to create a balanced flavor profile designed to be at the heart of your craft. Useful where a local, Washington-only beer and distillate is desired.",http://www.greatwesternmalting.com/gwm/identity-preserved-malt/
Superior Pilsen,United States,Base,Great Western,Yes,0.620109257,0.620109257,1.6,1.6,,10.7,,,4.2,100,"Our Superior Pilsen malt is produced with care and a gentle processing regime. By utilizing low protein barley and a delicate kilning program, we are able to create a fully-functional base malt with accentuated extract and low color formation.",http://www.greatwesternmalting.com/gwm/specialty-malt/mela/
Vienna Malt,United States,Base,Great Western,Yes,2.391849993,2.391849993,4,4,,11.5,,,3.7,100,"Our Vienna malt is created with attention to modification, flavor development and enzyme preservation. Whether used as a base malt, or an addition to a recipe, Vienna malt is a great malt-forward product.",http://www.greatwesternmalting.com/gwm/specialty-malt/vienna/
Whiteout Malt,United States,Base,Great Western,Yes,0.693931788,0.693931788,1.7,1.7,,10.5,,,4.2,100,"Our Whiteout is a truly unique malt, made from a two row winter variety. This barley is planted in autumn, survives winter in a dormant state and displays a growth spurt as soon as the spring thaw arrives. This head start allows it to be harvested in early July, well before typical spring barleys. It is grown in the Cascadia region where winter conditions are ideal for its special growth cycle.",http://www.greatwesternmalting.com/gwm/western-exclusive/whiteout/
Mela Malt,United States,Color,Great Western,Yes,22.7,22.7,29.98942,29.98942,,12,,,4.4,40,"Rich, full and mellow. Mela malt gives a toasted biscuit flavor and a mouthfeel worthy of contemplation around a campfire. Red ale, Scotch ale, Bock, Doppelbock, Dubbel, Dunkel and more",http://www.greatwesternmalting.com/gwm/specialty-malt/mela/
Munich Malt ,United States,Color,Great Western,Yes,7.9,7.9,9.94134,9.94134,90,12,,1,4.4,100,"This mellow kilned malt is ideal where unique malt flavor and rich aroma, is sought.",http://www.greatwesternmalting.com/gwm/specialty-malt/mela/
Caramel Steam Malt,United States,Crystal,Great Western,No,28.96796102,28.96796102,40,40,,12,,,5,20,"Our Caramel Steam malt is created via an innovative process that develops crystal characteristics and a rich, nutty flavor. Caramel Steam can be used as a direct substitution to crystal malts for those desiring crystal-like flavors, but wanting a softer sensory impact.",http://www.greatwesternmalting.com/gwm/specialty-malt/caramel-steam/
Crystal 120,United States,Crystal,Great Western,No,88.02598553,88.02598553,120,120,,11.5,,,2.3,10,"Our Crystal malts are produced in Vancouver, Washington inside custom-designed roasting drums in order to develop a full, rich profile. Pacific Northwest barley is hand-selected to craft a line of products that provide a range of flavors from soft and sweet caramel to burnt toffee.",http://www.greatwesternmalting.com/gwm/crystal-malt/crystal-15/
Crystal 15,United States,Crystal,Great Western,No,10.51232836,10.51232836,15,15,,11.5,,,7.2,25,"Our Crystal malts are produced in Vancouver, Washington inside custom-designed roasting drums in order to develop a full, rich profile. Pacific Northwest barley is hand-selected to craft a line of products that provide a range of flavors from soft and sweet caramel to burnt toffee.",http://www.greatwesternmalting.com/gwm/crystal-malt/crystal-15/
Crystal 150,United States,Crystal,Great Western,No,110.1727447,110.1727447,150,150,,11.5,,,2.8,10,"Our Crystal malts are produced in Vancouver, Washington inside custom-designed roasting drums in order to develop a full, rich profile. Pacific Northwest barley is hand-selected to craft a line of products that provide a range of flavors from soft and sweet caramel to burnt toffee.",http://www.greatwesternmalting.com/gwm/crystal-malt/crystal-15/
Crystal 30,United States,Crystal,Great Western,No,21.58570796,21.58570796,30,30,,11.5,,,6,20,"Our Crystal malts are produced in Vancouver, Washington inside custom-designed roasting drums in order to develop a full, rich profile. Pacific Northwest barley is hand-selected to craft a line of products that provide a range of flavors from soft and sweet caramel to burnt toffee.",http://www.greatwesternmalting.com/gwm/crystal-malt/crystal-15/
Crystal 40,United States,Crystal,Great Western,No,40,40,53.424,53.424,0,11.5,,1,5.3,20,"Our Crystal malts are produced in Vancouver, Washington inside custom-designed roasting drums in order to develop a full, rich profile. Pacific Northwest barley is hand-selected to craft a line of products that provide a range of flavors from soft and sweet caramel to burnt toffee.",http://www.greatwesternmalting.com/gwm/crystal-malt/crystal-15/
Crystal 60,United States,Crystal,Great Western,No,60,60,80.516,80.516,0,11.5,,1,4.3,15,"Our Crystal malts are produced in Vancouver, Washington inside custom-designed roasting drums in order to develop a full, rich profile. Pacific Northwest barley is hand-selected to craft a line of products that provide a range of flavors from soft and sweet caramel to burnt toffee.",http://www.greatwesternmalting.com/gwm/crystal-malt/crystal-15/
Crystal 75,United States,Crystal,Great Western,No,75,75,100.835,100.835,0,11.5,,1,4.3,10,"Our Crystal malts are produced in Vancouver, Washington inside custom-designed roasting drums in order to develop a full, rich profile. Pacific Northwest barley is hand-selected to craft a line of products that provide a range of flavors from soft and sweet caramel to burnt toffee.",http://www.greatwesternmalting.com/gwm/crystal-malt/crystal-15/
Crystal Wheat Malt ,United States,Crystal,Great Western,No,28.96796102,28.96796102,40,40,,10,,,5,20,"Crystal Wheat malt is crafted from premium golden wheat from the rolling fields of the Pacific Northwest. This roasted wheat malt gives a true caramel character and a beautiful color while enhancing foam retention. Lager, pale ale, amber, IPA, barley wine and more",http://www.greatwesternmalting.com/gwm/crystal-malt/crystal-15/
DextraPils,United States,Crystal,Great Western,No,0.546286727,0.546286727,1.5,1.5,,12.5,,,6,no info,"Our DextraPils malt is processed in Vancouver, WA, utilizing a unique process to gelatinize the starch within the kernel. This malt will contribute additional body, foam retention and beer stability without influencing color or aroma.",
Great Western White Wheat Malt,United States,Specialty/Adjunct,Great Western,Yes,,,-0.76,-0.76,,10,,1,5,100,"Our White Wheat malt is grown exclusively in the Pacific Northwest. Fully-modified and kilned to develop rich and malty flavor, it has enzyme levels similar to our two row malt",http://www.greatwesternmalting.com/gwm/base-malt/white-wheat-malt/
Unmalted Barley,United States,Specialty/Adjunct,Great Western,Yes,,,,,,11.5,,1,11,no info,Irish-style Stout. A low-cost low-flavor beer adjunct rarely used outside of Irish-style Stout.,
"Wheat, Unmalted",United States,Specialty/Adjunct,Great Western,Yes,1.5,4,1.2719,4.6584,,10.5,75,1.0346575,10,no info,"Unmalted Wheat has a strong grain flavor, and a very light straw color. It is used in many traditional Belgian styles to add flavor and cloudiness, and improve head formation. The starch in raw grain is not gelatinized and the protein content is high. Depending upon use, a cereal mash and/or protein rest may be required.",https://bsgcraftbrewing.com/rahr-unmalted-wheat
Warminster Floor Malted Maris Otter Malt,United Kingdom,Base,Maillard Malts®,Yes,2.5,3.5,2.6265,3.9811,,10,80,1.036968,4.5,100,"This is a special craft malt from Britain's oldest working floor-malting facility. Still made by hand using many of the same methods as they were 200 years ago, Warminster's Maris Otter is a complex and bready malt. Use in any British style and many American styles for unparalleled depth of flavor.",https://www.midwestsupplies.com/warminster-floor-malted-maris-otter
Maris Otter Malt ,United Kingdom,Base,Maillard's Malts®,Yes,3.5,4.5,3.9811,5.3357,,,82.5,1.03812325,2.8,100,"Finest malts from the British Isles. Maris Otter is an English 2-row varietal barley introduced in 1966 that was developed specifically to produce high quality malt for the production of ale. Its low nitrogen content, uniformly plump kernels, and robust husk has made it a favorite among English brewers for its reliable and forgiving brewhouse performance, and, most notably, because of the unique Maris Otter flavor it adds to the beer which may be absent in modern barley varieties grown for yield and ease of agricultural production. This fine base malt will easily convert with a single infusion mash, and produce an orange tinged golden wort with a unique rich, slightly nutty flavor. An excellent malt for any English style beer. 3.5-4.5°L",https://www.midwestsupplies.com/maillard-malts-crisp-maris-otter-malt
Irish Ale Malt,Ireland,Base,Malting Company of Ireland,Yes,2,3.5,1.9492,3.9811,70,10,82,1.0378922,4,100,"Malting Company of Ireland Ale Malt is produced from Irish 2-row spring barley which is grown with all the benefits of fertile soils, mild temperate oceanic climate and the long growing season.  These factors help to provide a malting barley with very large and plump kernels, which makes it ideal for brewing.  Due to a special kilning process this malt develops a rich sweet malty of flavor and aroma and a rich, golden color.  This malt will give a lasting depth of flavor to your brew and can be used on its own, or combined with other malt types to produce a variety of beers.",https://bsgcraftbrewing.com/malt-co-ireland-ale-malt25k
Irish Lager Malt,Ireland,Base,Malting Company of Ireland,Yes,1.5,2,1.2719,1.9492,>/=230WK,10,82,1.0378922,4.5,100,The Irish Lager Malt is expertly crafted for brewers who wish to produce European-style Lagers and other types of beers. The kernels are uniformly plump and a show a high degree of modification and very low protein. Thekilning temperature is in the mid range (88-90˚C) which allows for fine balance betweena rich straw colored (1.5 to 2.0 ˚L) wort and proper enzyme activity. ,https://bsgcraftbrewing.com/Resources/CraftBrewing/PDFs/Product_Sheets/MCI/mci_malts.pdf
Irish Stout Malt,Ireland,Base,Malting Company of Ireland,Yes,1.5,2,1.2719,1.9492,90,,82,1.0378922,4.5,10,"Malting Company of Ireland StoutMalt is produced from Irish 2-row spring barley which is grown with all the benefits of fertile soils, mild temperate oceanic climate and the long growing season.  These factors help to provide a malting barley with very large and plump kernels, which makes it ideal for brewing.  With it's high extract content and enzymatic strength, this malt has been specially developed to be combined with raw adjuncts to provide the foundation of many a pint of famous Irish stout. Being a mild flavored malt it can add a smoothness and depth to a beer without being overwhelming on the palate.  Having being developed with ease of conversion in the mash in mind it is extremely versatile and can be, and is, used in many styles of beer.",https://bsgcraftbrewing.com/malt-co-ireland-stout-malt25k
Lager Malt,United Kingdom,Base,Munton's,Yes,1.8,1.8,1.67828,1.67828,67 L,,80,1.036968,5,100,"Lager Malt is kilned at a low temperature to ensure that the malt is a pale colour with a delicate flavour but also to preserve a high level of diastatic activity.  Modern lager malts are now fully modified and therefore a simple infusion mash can be used.  The diastatic activity of our lager malt means that a good proportion of unmalted grains may safely be included in the mash if required. Very light lager malt used to make Pilsners, Lagers and other light beers. May be used as a base malt.",http://www.muntonsmicrobrewing.com/products/lager-malt/
Maris Otter ,United Kingdom,Base,Munton's,Yes,2,3,1.9492,3.3038,62,9.7,82,1.0378922,6.5,100,"Muntons Maris Otter malt is a 2-row winter variety of barley specially bred for use in the brewing industry. It has a low nitrogen content and high quality malt characteristics which give beers a lush, full flavor profile. It is generally regarded as having a more rich maltiness than standard American 2-row varieties that have been bred specifically for yield. Plump kernels with good husks for filtration, Maris Otter has a breadiness that goes well in British style ales, but may be used in any recipe where more malt character and a more rounded flavor are desired.",
Munton's English Mild Malt,United Kingdom,Base,Munton's,Yes,2.9,3.3,3.16834,3.71018,53,10.6,85,1.0392785,3.5,100,"Munton's Mild Ale Malt is the perfect base for bready, rich beers. Due to the kilning regime that this malt goes through, the wort produced is higher in dextrin content than pale malt, resulting in a slightly sweeter, more full-bodied finished beer. The flavor of Mild malt is often described as nutty, and for this reason it is the perfect base malt for many rich British style ales. It is typically used in mild ales, brown ales, Belgian ales and barleywines. Because of the higher dextrine content, Mild malt will contribute more body and mouthfeel than standard pale base malts.",http://shop.greatfermentations.com/product/muntons-mild-ale/specialty-grains
Chocolate Malt ,United States,Roasted Malt,Munton's,No,384,427,519.4064,577.6542,0,9.7,67,1.0309607,4,50,"Munton's Chocolate Malt is a dark roasted malt that can be used in very small amounts for color adjustment and adding a slightly dry complexity to beer. It is often described as having a rich coffee or dark cocoa flavor, as well as a slight bitterness. It is used in small amounts in some English and British-style ales, such as milds, and in larger amounts in brown ales, porters and stouts. It is also used in small amounts to give a red hue to beers, such as Irish Red Ale or some amber beers.",http://shop.greatfermentations.com/product/chocolate-malt/specialty-grains
Muntons English Pale Malt,United Kingdom,Base,Muntons,Yes,2.9,4.3,3.16834,5.06478,50,9.7,80,1.036968,4.5,100,"Muntons English pale malt is a fully modified base malt that can be used in a number of beers. It works  as a base in British and American style ales, but can be used as part or all of the base for other beers as well, since it is easy to work with and has a great flavor. Pale malt is generally more highly kilned than standard 2-row malt, and as a result it is slightly bready and has a richer flavor profile than 2-row. This is a good base to use in a number of beer styles, from lighter pale ales and bitters to darker porters and stouts. Give this a try next time you are putting together a beer that requires a clean yet slightly rich flavor profile.",http://shop.greatfermentations.com/product/english-pale/pale-and-base-malts
Muntons Crystal 60L,United Kingdom,Crystal,Muntons,No,56,73,75.0976,98.1258,,9.7,67,1.0309607,6,10,"From Munton's, one of the top malt producers in the U.K., comes this fine crystal 60 malt! Bursting with flavors of caramel, toffee and biscuit, Munton's crystal 60 has a medium amber-brown color contribution when used as a part of the grist. It will increase residual sweetness as well as improving foam stability, increasing body and adding wonderful aromatics to beer. It can be used whenever crystal malt is called for, and while it creates wonderful British style beers, it also works extremely well in just about any beer style. It is commonly used in pale ales, IPAs, bitter, milds, stouts, porters, and other styles as well. A highly recommended crystal malt with excellent flavor and aromatic qualities.",http://shop.greatfermentations.com/product/crystal-60l/specialty-grains
Muntons Black Patent Malt,United Kingdom,Roasted,Muntons,No,512,598,692.7952,809.2908,,9.7,65,1.0300365,5,20,"Munton's Black Patent malt is a malt made by taking fully modified pale malt and roasting it to the point of carbonizing. The result is a very dark malt with no diastatic power that is used to contribute color, roasted flavor, acidity and dryness to beers. A small amount will contribute dark color additions and a bit of dryness without impacting flavor too greatly. A bit more will add roast character and may help balance some crystal and caramel flavors contributed by other specialty malts. While it is sometimes described as bitter and astringent, Black Patent malt can also lend deep, rich fruit notes of currant and plum when balanced with other crystal and specialty malts. Black Patent can also contribute dryness to beer. Used mostly in porters and stouts, Black Patent malt may also be used in very small amounts for color adjustment in recipes.",http://shop.greatfermentations.com/product/muntons-black-patent/specialty-grains
Muntons Roasted Barley,United Kingdom,Roasted,Muntons,No,430,620,581.718,839.092,,9.7,67,1.0309607,6,10,"Roasted barley is the quintessential grain used in the production of classic dry Irish stouts. Made from unmalted barley that has been deeply roasted, Munton's roasted barley adds a deep roasted flavor and aroma to beers. In addition, it can add a drying quality and roasty bitterness to beers in which it is included as part of the grist. Most notably used in stouts, it can also be used in small proportions in other dark beers such as porters, stouts, milds, dunkelweizens, browns...the list goes on! It is also used to give Irish red ales their characteristic red color and dry finish. Try adding an ounce or two in lighter styles to add color and dryness, as well as depth of character.",http://shop.greatfermentations.com/product/unmalted-roasted-barley/specialty-grains
Extra Pale Malt,Chile,Base,Patagonia,Yes,1.5,1.5,1.2719,1.2719,,11.5,80,1.036968,4,100,"Patagonia’s Extra Pale malt features medium proteolytic alteration, lower FAN and lower Kolbach Index, and has good modification of sugars and enzymatic power. This malt is comprised of a blend of at least two barley varieties: Sebastian / Barke / Scarlet.  Extra Pale Ale also features low DMS due to higher oven temperatures and lower diastasic power.",https://bsgcraftbrewing.com/craftbrewing-malt-patagonia-brewers-malt
Vienna Malt,Chile,Base,Patagonia,Yes,2.4,3.2,2.49104,3.57472,,12.5,78,1.0360438,5.5,100,"Produced from two-row spring barley (Sebastian, Barke, and Scarlett) influenced by to the unique Andean-Pacific climate of Chile, Patagonia’s Vienna malt can be used as a standalone base for amber lagers and ales, or at a smaller ratio to impart golden color and a light warm biscuit flavor to many beer styles.",
Munich Malt,Chile,Color,Patagonia,Yes,10,14,12.786,18.2044,,12.5,75,1.0346575,7,100,"Produced from two-row spring barley (Sebastian, Barke, and Scarlett) influenced by to the unique Andean-Pacific climate of Chile, Patagonia’s Munich can be used as a standalone base malt for dark lagers and other malty styles, or at a smaller ratio as a color and flavor intensifier for many beer styles.",https://bsgcraftbrewing.com/craftbrewing-malt-patagonia-brewers-malt
Caramel 110L,Chile,Crystal,Patagonia,No,110,110,148.246,148.246,,12.5,65,1.0300365,5,20,"Also known as “Crystal Malt”, Patagonia’s Caramel 110L is made from green malt. During the toasting process sugars are caramelized developing unique flavors, aromas and colors. Sweet, fresh and clear caramel taste on lower colors. As roasting increases, flavor becomes more complex, adding notes of toffee and raisins. On high colors there are flavors of dry prunes, sweet bitterness and roasted bread. Red beers, amber beers, clear beers, brown beers (Scottish or Brown Ale), dark beers (portor or stout), alcohol-free beers.",https://bsgcraftbrewing.com/patagonia-caramel-15-25-kg
Caramel 15L,Chile,Crystal,Patagonia,No,15,15,19.559,19.559,,12.5,65,1.0300365,7,30,"Also known as “Crystal Malt”, Patagonia’s Caramel 15L is made from green malt. During the toasting process sugars are caramelized developing unique flavors, aromas and colors. Sweet, fresh and clear caramel taste on lower colors. As roasting increases, flavor becomes more complex, adding notes of toffee and raisins. On high colors there are flavors of dry prunes, sweet bitterness and roasted bread. Red beers, amber beers, clear beers, brown beers (Scottish or Brown Ale), dark beers (portor or stout), alcohol-free beers.",https://bsgcraftbrewing.com/patagonia-caramel-15-25-kg
Caramel 170L,Chile,Crystal,Patagonia,No,170,170,229.522,229.522,,12.5,65,1.0300365,4,15,"Also known as “Crystal Malt”, Patagonia’s Caramel 170L is made from green malt. During the toasting process sugars are caramelized developing unique flavors, aromas and colors. One of the darker Patagonia caramel malts, delivering rich and vibrant red and ruby hues.  While the color alone is a reason to give this malt a try, the 170L is also pleasantly restrained in the cloying sweetness it delivers.  Tons of color, subtle sweetness; perfect for Dopplebocks, Red ales, Dubbels, and Barley Wines. Sweet, fresh and clear caramel taste on lower colors. As roasting increases, flavor becomes more complex, adding notes of toffee and raisins. On high colors there are flavors of dry prunes, sweet bitterness and roasted bread. Red beers, amber beers, clear beers, brown beers (Scottish or Brown Ale), dark beers (portor or stout), alcohol-free beers.",https://bsgcraftbrewing.com/patagonia-caramel-15-25-kg
Caramel 190L,Chile,Crystal,Patagonia,No,190,,256.614,-0.76,,12.5,65,1.0300365,4,15,"Slightly darker than the 170L, Patagonia’s 190L delivers one of the most intense, deepest reds of any specialty malt.  While the color alone is a reason to give this malt a try, the 190L is also pleasantly restrained in the cloying sweetness it delivers.  Tons of color, subtle sweetness; perfect for Dopplebocks, Red ales, Dubbels, and Barley Wines.  Sweet, fresh and clear caramel taste on lower colors. As roasting increases, flavor becomes more complex, adding notes of toffee and raisins. On high colors there are flavors of dry prunes, sweet bitterness and roasted bread. Red beers, amber beers, clear beers, brown beers (Scottish or Brown Ale), dark beers (portor or stout), alcohol-free beers.",https://bsgcraftbrewing.com/patagonia-caramel-15-25-kg
Caramel 35L,Chile,Crystal,Patagonia,No,35,35,46.651,46.651,,12.5,65,1.0300365,7,30,"Also known as “Crystal Malt”, Patagonia’s Caramel 35L is made from green malt. During the toasting process sugars are caramelized developing unique flavors, aromas and colors. Sweet, fresh and clear caramel taste on lower colors. As roasting increases, flavor becomes more complex, adding notes of toffee and raisins. On high colors there are flavors of dry prunes, sweet bitterness and roasted bread. Red beers, amber beers, clear beers, brown beers (Scottish or Brown Ale), dark beers (portor or stout), alcohol-free beers.",https://bsgcraftbrewing.com/patagonia-caramel-15-25-kg
Caramel 45L,Chile,Crystal,Patagonia,No,45,45,60.197,60.197,,12.5,65,1.0300365,7,30,"Also known as “Crystal Malt”, Patagonia’s Caramel 45L is made from green malt. During the toasting process sugars are caramelized developing unique flavors, aromas and colors. Sweet, fresh and clear caramel taste on lower colors. As roasting increases, flavor becomes more complex, adding notes of toffee and raisins. On high colors there are flavors of dry prunes, sweet bitterness and roasted bread. Red beers, amber beers, clear beers, brown beers (Scottish or Brown Ale), dark beers (portor or stout), alcohol-free beers.",https://bsgcraftbrewing.com/patagonia-caramel-15-25-kg
Caramel 55L,Chile,Crystal,Patagonia,No,55,55,73.743,73.743,,12.5,65,1.0300365,7,30,"Also known as “Crystal Malt”, Patagonia’s Caramel 55L is made from green malt. During the toasting process sugars are caramelized developing unique flavors, aromas and colors. Sweet, fresh and clear caramel taste on lower colors. As roasting increases, flavor becomes more complex, adding notes of toffee and raisins. On high colors there are flavors of dry prunes, sweet bitterness and roasted bread. Red beers, amber beers, clear beers, brown beers (Scottish or Brown Ale), dark beers (portor or stout), alcohol-free beers.",https://bsgcraftbrewing.com/patagonia-caramel-15-25-kg
Caramel 70L,Chile,Crystal,Patagonia,No,70,70,94.062,94.062,,12.5,65,1.0300365,6,25,"Also known as “Crystal Malt”, Patagonia’s Caramel 70L is made from green malt. During the toasting process sugars are caramelized developing unique flavors, aromas and colors. Sweet, fresh and clear caramel taste on lower colors. As roasting increases, flavor becomes more complex, adding notes of toffee and raisins. On high colors there are flavors of dry prunes, sweet bitterness and roasted bread. Red beers, amber beers, clear beers, brown beers (Scottish or Brown Ale), dark beers (portor or stout), alcohol-free beers.",https://bsgcraftbrewing.com/patagonia-caramel-15-25-kg
Caramel 90L,Chile,Crystal,Patagonia,No,90,90,121.154,121.154,,12.5,65,1.0300365,5,25,"Also known as “Crystal Malt”, Patagonia’s Caramel 90L is made from green malt. During the toasting process sugars are caramelized developing unique flavors, aromas and colors. Sweet, fresh and clear caramel taste on lower colors. As roasting increases, flavor becomes more complex, adding notes of toffee and raisins. On high colors there are flavors of dry prunes, sweet bitterness and roasted bread. Red beers, amber beers, clear beers, brown beers (Scottish or Brown Ale), dark beers (portor or stout), alcohol-free beers.",https://bsgcraftbrewing.com/patagonia-caramel-15-25-kg
Caramel Especial Malt 140L,Chile,Crystal,Patagonia,No,140,140,188.884,188.884,,12.5,65,1.0300365,5,20,"Patagonia’s Especial Malt 140L is well suited for a wide range of beers, particularly rich malt-forward beers, showcasing hints of roasted smoke, and subtle sweet overtones. Sweet, fresh and clear caramel taste on lower colors. As roasting increases, flavor becomes more complex, adding notes of toffee and raisins. On high colors there are flavors of dry prunes, sweet bitterness and roasted bread. Red beers, amber beers, clear beers, brown beers (Scottish or Brown Ale), dark beers (portor or stout), alcohol-free beers.",https://bsgcraftbrewing.com/patagonia-caramel-15-25-kg
Patagonia Brown 115L,Chile,Roasted Malt,Patagonia,No,115,115,155.019,155.019,,12.5,65,1.0300365,4,15,"Patagonia’s Brown 115L adds complex flavors and aromas are its characteristic. Great for Stouts, Bocks, Porters, Brown Ales and anything that you call “dark”.",https://bsgcraftbrewing.com/craftbrewing-malt-patagonia-roasted-dark-malts
Patagonia Chocolate 350L,Chile,Roasted Malt,Patagonia,No,350,350,473.35,473.35,,12.5,65,1.0300365,4,15,"Patagonia’s Chocolate 350L adds complex flavors and aromas are its characteristic. Great for Stouts, Bocks, Porters, Brown Ales and anything that you call “dark”.",https://bsgcraftbrewing.com/craftbrewing-malt-patagonia-roasted-dark-malts
Patagonia Coffee 230L,Chile,Roasted Malt,Patagonia,No,230,,310.798,-0.76,,12.5,65,1.0300365,4,15,"Patagonia’s Coffee 230L adds complex flavors and aromas are its characteristic. Great for Stouts, Bocks, Porters, Brown Ales and anything that you call “dark”.",https://bsgcraftbrewing.com/craftbrewing-malt-patagonia-roasted-dark-malts
