Variety,Origin,Type,Alpha_Acid_LOW,Alpha_Acid_HIGH,Beta_Acid_LOW,Beta_Acid_HIGH,Total_Oil_LOW,Total_Oil_HIGH,Co_Humulone_LOW,Co_Humulone_HIGH,Myrcene_LOW,Myrcene_HIGH,Caryophyllene_LOW,Caryophyllene_HIGH,Humulene_LOW,Humulene_HIGH,Description,Aroma,Beer Styles,Substitutions
Pioneer,United Kingdom,Dual Purpose,8,10,3.5,4,1,1.8,36,40,31,36,7,8,22,24,*Combines a pleasant aroma with a moderately high alpha acid content.,"lemon, grapefruit and hints of herbal, cedar flavors","India Pale Ale, Red Ale, Specialty Ale, Strong Bitter",East Kent Golding
Polaris,Germany,Dual Purpose,18,23,4.5,6,4,5,22,28,49,51,8,13,20,35,"*Bred at the Hop Research Institute in Hüll and released in 2012, Polaris was commercialized as a new, German variety in response to growing demand from the craft beer industry for distinct flavor profiles. It features extremely high alpha content along with intense mint flavors","mint, pineapple and menthol","Ales, Pale Ales, India Pale Ale",Herkules
Premiant,Czech Republic,Dual Purpose,7,10,3.5,5.5,1,2,18,23,30,45,9,13,25,40,"*Bred from Saaz and released in 1996, Premiant has a relatively high alpha content for Czech varieties. As a result, it has found some application as a dual purpose variety.",pleasant and mild,"Pilsner, Ale, Pale Ale, Belgian Ales, Belgian Pilsners","Styrian Golding, Saaz"
Pride of Ringwood,Australia,Dual Purpose,9,12,4,6,1,2,33,39,25,50,5,10,3,8,*Bred in 1953 and commercially grown since the 1960s. One of Australia's most known and utilized hop varieties. Predominantly used for early kettle additions.,"cedar, oak, herbal","Amber Ale, Lager, Fruit Lambic, Pale Ale, Australian Lager, Strong Ale, Golden Ale, American Pale Ale","East Kent Goldings, Centennial, Galena, Cluster"
Progress,United Kingdom,Dual Purpose,6,7.5,2,2.5,0.5,0.8,25,36,30,35,12,15,40,47,"*Bred at Wye College in 1951 and released in 1964, Progress is a cross between WGV (Whitbread Golding Variety) and a wild, American male hop. It was originally introduced as an alternative to Fuggle, but showcases a slightly sweeter aroma.","grass, mint, honey and blackcurrant","English Bitters, Pale Ale, Porter, Stout, Czech Pilsner, Bock, Cask Ale, Wheat","East Kent Goldings, Fuggle"
Rakau,New Zealand,Dual Purpose,10,11,5,6,2.2,2.2,23,25,56,56,5.2,5.2,16.3,16.3,"*Re-released in 2007 from the New Zealand hop breeding program, Rakau is often described as “the whole orchard.” It is often used in New World styles where brash fruity character and big but well constructed bitterness is desired. Rakau performs best when used in combination of late additions and dry hopping","stone fruit, fig, fresh orchard fruits, apricot, resinous pine needles","Pale Ale, Lager, Belgian Ales, IPAs","Amarillo, Summit"
Simcoe®,United States,Dual Purpose,12,14,4.5,5,2,2.5,15,20,60,65,5,8,10,15,"*Developed by Select Botanicals Group and released in 2000, Simcoe® Brand YCR 14 is known for its brewing versatility and unique aroma characteristics. It contains high alpha and low-cohumlone which has found favor in the craft and home brewing industries for dual purpose applications. Simcoe® is moderately tolerant to powdery mildew and has good pickability of a medium size cone.","earthy, passion fruit, pine, berry ","US-Style Ales, Pale Ales, IPAs, Double IPAs","Summit, Magnum, Amarillo, Cascade, Centennial"
Smaragd,Germany,Dual Purpose,4,6,3.5,5.5,0.4,0.8,13,18,20,40,9,14,,,"*Formerly known as Emerald, Smaragd is a fine aroma variety with high bitter value. This variety shows high yields and good production characteristics.","floral, spicy and mild fruity.","Ale, Amber, Pilsners, German Ales, German Lagers, Belgian Styles, Weissbier",Hallertau Mittelfruh
Sorachi Ace,United States,Dual Purpose,11.5,14.5,6,7.5,1.5,3,25,28,45,55,7,11,20,26,"*Developed in Japan in 1984 for Sapporo Breweries, Ltd., Sorachi Ace is a cross between Brewer's Gold, Saaz and Beikei No. 2 male. It is available in limited quantities, however, it remains a popular variety among craft brewers for its unique citrus fruit, herbal and dill aromas.","lemon, lime and dill.",Saison,Southern Cross
Southern Brewer,South Africa,Dual Purpose,9,10.5,3.6,4.5,1.4,1.6,38,41,39,43,9,10,17,21,"*Parent of Southern Promise, Southern Brewer was developed in the early 1970’s after the primary South African hops variety at the time, Golden Cluster, was devastated by black root rot. It is the result of an open pollinated cross of Fuggle. Southern Brewer is used primarily for bittering and is not considered to be particularly distinguished in either aroma or flavor.Southern Brewer did not do well with relatively limited hours of sunlight and required supplemental grow lighting. This made the variety considerably more expensive to produce. The development and introduction of Southern Promise and Outeniqua solved much of that issue.",,"Pilsner, Pale Ale",Southern Promise
Southern Cross,New Zealand,Dual Purpose,12,14.6,5,6,1.5,2.5,25,28,55,70,3,5,10,14,"Developed by the New Zealand Institute for Plant and Food Research hop breeding program and released in 1994, Southern Cross is a triploid cross between New Zealand Smoothcone and a 1950’s research variety bred from a crossing of Californian and English Fuggle. It has excellent essential oils and low co-humulone delivering a delicate balance of citrus and spice when added at the end of boil.","citrus, tropical fruits with hints of lemon zest, lime, pine and spice","Pale Ale, IPA, Lager",
Southern Promise,South Africa,Dual Purpose,9.5,11.5,3.6,5.4,0.6,0.8,20,22,20,23,7,11,23,28,"*Southern Promise was bred specifically for the South African region. Created from Southern Brewer and a wild Slovenian male, it was developed in an effort to produce a variety that would grow well in areas with limited sunlight. It has fairly high alpha acids and low cohumulone giving it bright and smooth bittering qualities. It is largely considered a nice dual-use hop with a pleasant and unobtrusive woody and earthy quality.","subtle woody, earthy, bright, smooth, bitterness","Lager, Pale Ale",Southern Brewer
Sovereign,United Kingdom,Dual Purpose,4.5,6.5,2.1,3.1,0.6,1,26,30,,,7.9,8.1,,,*Works well with Goldings and as a single hop.,"pleasant but intense fruity flavors with mild floral, grassy, herbal and mint characteristics.","American Lager, American Pale Ale",Fuggle
Status ,United States,Dual Purpose,12.5,14,8.5,9,1.5,1.8,32,35,40,45,7,10,15,20,,,,
Sterling,United States,Dual Purpose,6,9,4,6,1.3,1.9,23,24,44,48,5,7,19,23,"*Bred in 1990 and released in 1998, Sterling is an aroma variety with noble hop characteristics. It shows moderate tolerance to powdery mildew and has good pickability of compact cones.",noble & spicy,IPA,Saaz
Sticklebract,New Zealand,Dual Purpose,13,14.5,7.5,8,1.2,2,42,44,45,60,4,7,8,15,*Sticklebract is a dual-use New Zealand variety and another variety bred to stem the issues from Black Root Rot that were present in the country during the mid 20th century. It was selected as a seedling in the 1970’s from open pollinated First Choice.,"pine, citrus aromas",ESB,Northern Brewer
Super Alpha,New Zealand,Dual Purpose,12.5,15,7,8.5,1.2,2.2,36,39,45,60,5,8,16,25,"*Originally known as Super Alpha, the variety was renamed to Dr Rudi in 2012. It was bred from New Zealand Smooth Cone and is largely grown in New Zealand. It was originally released in 1976. Originally considered a bittering hop, Dr Rudi is now widely regarded as dual-use and features a grassy, piney, citrus character. It is also well known for its clean and crisp bittering despite its high cohumulone content. Works well in single-hopped beer","Grass, pine and citrus flavors","Lagers, Pilsners, Bitters",Green Bullet
Super Pride,Australia,Dual Purpose,14,15,7,8,1.7,1.9,30,34,30,45,7,9,1,2,*Similar to Pride of Ringwood but with higher levels of alpha acids.,mild and pleasant subtle resin and fruit tones.,"Imperial Pale Ale, Lager",Pride of Ringwood
Super Styrian (Aurora),Slovenia,Dual Purpose,7.5,8.8,3.6,4,1,1.2,22,26,29,31,4,6,18,20,"*A diploid hybrid of Northern Brewer and a TG seedling of unknown origin, Aurora displays an intense yet pleasant aroma in finished beers. It is also known as Super Styrian.",noble characteristics,"American Pale Ale, Dark Lager","Styrian Golding, Northern Brewer"
Waimea,New Zealand,Dual Purpose,16,19,3.3,6,1.5,2.5,26,32.5,30,50,10,15,15,25,"*Released from The New Zealand Institute for Plant & Food Research Limited’s Motueka Research Centre, Waimea is well-suited to dual purpose applications from early kettle additions right through to dry hopping. It exudes quality bitterness and aroma abound with fruity citrus and pine characters from this hop's big weight of oil. A big hop for big beers, it an be used across a wide array of styles in a variety of brewhouse and dry hopping applications.","pine, citrus, tangelo","India Pale Ale, Pale Ale, Lagers","Columbus, Pacific Jade"
Wakatu,New Zealand,Dual Purpose,6.5,8.5,8.4,8.6,0.9,1.1,28,30,35,36,8.1,8.3,16.7,16.9,"*Developed by the New Zealand Institute for Plant and Food Research hop breeding program and released in 1988, as Hallertau Aroma, Wakatu was renamed in 2011. It is a triplod variety with two thirds Hallertau Mittelfrüh parentage. Wakatu is a well rounded variety with strong, fresh citrus characteristics and some bittering capabilities.",understated floral notes and citrusy lime aromas,"Lager, Pale Ale, Belgian Ale","Hallertauer Mittelfrüh, Nelson Sauvin"
WGV,United Kingdom,Dual Purpose,5.4,7.7,2,3.3,0.9,1.4,32,43,21,27,12,14,39,44,"*Developed through grower selection circa 1911, Whitbread Golding (WGV) is not a true Golding. It displays many similar characteristics but has more robust and slightly sweet, hoppy flavor.","earthy, botanical, floral, sweet fruit flavor","Bitter, Scottish Ale, Pale Ale, Best Bitter","Fuggle, Styrian Golding, East Kent Golding"
Willamette,United States,Dual Purpose,4,6,3,4,1,1.5,30,35,45,55,7,8,20,30,"*Released in 1976 from the USDA breeding program, Willamette is a triploid seedling of English Fuggle. For years, it was the most widely grown aroma variety in the US. It is named after Oregon’s Willamette River which runs through the heart of the state’s hop growing region.","floral, incense, and elderberry aromas","Ale, American Ales, Pale Ale, Brown Ale, English Ales, Porter","Fuggle, Styrian Golding, Tettnanger (US), Glacier, Styrian Golding"
